"SR";"TI";"TI_TM"
"SMAW ED, 2022, BIOETHICS";"UTERUS COLLECTORS: THE CASE FOR REPRODUCTIVE JUSTICE FOR AFRICAN AMERICAN, NATIVE AMERICAN, AND HISPANIC AMERICAN FEMALE VICTIMS OF EUGENICS PROGRAMS IN THE UNITED STATES";"UTERUS COLLECTORS;REPRODUCTIVE JUSTICE;AFRICAN AMERICAN;AMERICAN NATIVE;NATIVE AMERICAN;HISPANIC AMERICAN;AMERICAN FEMALE;FEMALE VICTIMS;EUGENICS PROGRAMS"
"SMIETANA M, 2018, Reprod. Biomed. Soc. Online";"MAKING AND BREAKING FAMILIES – READING QUEER REPRODUCTIONS, STRATIFIED REPRODUCTION AND REPRODUCTIVE JUSTICE TOGETHER";"BREAKING FAMILIES;FAMILIES READING;READING QUEER;QUEER REPRODUCTIONS;REPRODUCTIONS STRATIFIED;STRATIFIED REPRODUCTION;REPRODUCTIVE JUSTICE"
"SMITH BD, 2017, SOC WORK";"REPRODUCTIVE JUSTICE: A POLICY WINDOW FOR SOCIAL WORK ADVOCACY";"REPRODUCTIVE JUSTICE;POLICY WINDOW"
"SMITH C, 2023, HEALTH SERV RES";"SUPPORTING REPRODUCTIVE HEALTH AMONG BIRTHING PERSONS WITH CHRONIC CONDITIONS IN THE UNITED STATES: A QUALITATIVE MULTILEVEL STUDY USING SYSTEMS THINKING TO INFORM ACTION";"SUPPORTING REPRODUCTIVE;REPRODUCTIVE HEALTH;BIRTHING PERSONS;CHRONIC CONDITIONS;QUALITATIVE MULTILEVEL;MULTILEVEL STUDY;SYSTEMS THINKING;INFORM ACTION"
"SMITH CW, 2022, POLIT GEND";"CONTRACEPTION DESERTS: THE EFFECTS OF TITLE X RULE CHANGES ON ACCESS TO REPRODUCTIVE HEALTH CARE RESOURCES";"CONTRACEPTION DESERTS;REPRODUCTIVE HEALTH;HEALTH CARE;CARE RESOURCES"
"SMITH E, 2019, ANAL SOC ISSUES PUBLIC POLICY";"``NOBODY EVER ASKS ME:'' A REPRODUCTIVE JUSTICE APPROACH TO RURAL HEALTH DISPARITIES";"REPRODUCTIVE JUSTICE;JUSTICE APPROACH;RURAL HEALTH;HEALTH DISPARITIES"
"SMITH E, 2020, J SOC ISSUES";"LISTENING TO WOMEN: UNDERSTANDING AND CHALLENGING SYSTEMS OF POWER TO ACHIEVE REPRODUCTIVE JUSTICE IN SOUTH CAROLINA";"WOMEN UNDERSTANDING;CHALLENGING SYSTEMS;ACHIEVE REPRODUCTIVE;REPRODUCTIVE JUSTICE;SOUTH CAROLINA"
"SMITH SW, 2021, THEORY ACTION";"RURAL HEALTH FOR PREGNANT AND BIRTHING PEOPLE: ACCESS AND ADVOCACY";"RURAL HEALTH;BIRTHING PEOPLE;PEOPLE ACCESS"
"SMITHBATTLE L, 2024, JOGNN";"REPRODUCTIVE JUSTICE AS AN ALTERNATIVE TO THE PREGNANCY PLANNING PARADIGM FOR TEENS";"REPRODUCTIVE JUSTICE;PREGNANCY PLANNING;PLANNING PARADIGM"
"SNELLING JM, 2022, MED LAW REV";"BEYOND CRIMINALISATION: ABORTION LAW REFORM IN AOTEAROA NEW ZEALAND";"CRIMINALISATION ABORTION;ABORTION LAW;LAW REFORM"
"SNYDER S, 2024, AFFILIA FEMINIST INQUIRY SOC WORK";"THE EXPERIENCE OF BIRTH PROFESSIONALS WHO WITNESS OBSTETRIC VIOLENCE DURING CHILDBIRTH";"BIRTH PROFESSIONALS;WITNESS OBSTETRIC;OBSTETRIC VIOLENCE"
"SOLINGER R, 2010, J WOMENS HIST";"THE FIRST WELFARE CASE <I>MONEY</I>, <I>SEX</I>, <I>MARRIAGE</I>, <I>AND WHITE SUPREMACY IN SELMA</I>, <I>1966</I>, <I>A REPRODUCTIVE JUSTICE ANALYSIS</I>";"IMONEYI ISEXI;ISEXI IMARRIAGEI;IMARRIAGEI IAND;IAND WHITE;WHITE SUPREMACY;SELMAI II;II IA;IA REPRODUCTIVE;REPRODUCTIVE JUSTICE;JUSTICE ANALYSISI"
"SOLINGER R, 2010, J. WOMEN'S Hist.";"THE FIRST WELFARE CASE: MONEY, SEX, MARRIAGE, AND WHITE SUPREMACY IN SELMA, 1966, A REPRODUCTIVE JUSTICE ANALYSIS";"MONEY SEX;SEX MARRIAGE;WHITE SUPREMACY;REPRODUCTIVE JUSTICE;JUSTICE ANALYSIS"
"SOLINGER R, 2016, SIGNS";"REPRODUCTIVE JUSTICE 101";"REPRODUCTIVE JUSTICE"
"SOTO-PONCE B, 2023, HEALTHCARE";"ROMANI GIRLS MATTER: DEVELOPING A PARTICIPATORY ACTION RESEARCH PROTOCOL FOR REPRODUCTIVE JUSTICE";"ROMANI GIRLS;GIRLS MATTER;MATTER DEVELOPING;PARTICIPATORY ACTION;ACTION RESEARCH;RESEARCH PROTOCOL;REPRODUCTIVE JUSTICE"
"SPEER AC, 2021, Teach. Artist. J.";"INCORPORATING ACTIVIST-ORIENTED THEATRE INTO THE FEMINIST STUDIES CLASSROOM";"INCORPORATING ACTIVIST-ORIENTED;ACTIVIST-ORIENTED THEATRE;FEMINIST STUDIES;STUDIES CLASSROOM"
"SPEIDEL JJ, 2017, Soc. Indic. Res. Ser.";"DYSFUNCTIONAL POPULATION GROWTH: THE LINKS TO HUMAN SUFFERING";"DYSFUNCTIONAL POPULATION;POPULATION GROWTH;HUMAN SUFFERING"
"SPEIDEL JJ, 2023, WORLD";"ADVANCING THE WELFARE OF PEOPLE AND THE PLANET WITH A COMMON AGENDA FOR REPRODUCTIVE JUSTICE, POPULATION, AND THE ENVIRONMENT";"COMMON AGENDA;REPRODUCTIVE JUSTICE;JUSTICE POPULATION"
"SPEIZER IS, 2022, GLOB HEALTH";"LANGUAGE AND MEASUREMENT OF CONTRACEPTIVE NEED AND MAKING THESE INDICATORS MORE MEANINGFUL FOR MEASURING FERTILITY INTENTIONS OF WOMEN AND GIRLS COMMENT";"MEASURING FERTILITY;FERTILITY INTENTIONS;GIRLS COMMENT"
"SPRAGUE RG, 2018, Encycl. Reprod.";"COST-EFFECTIVENESS OF LOW-COST IVF";"LOW-COST IVF"
"SREENIVAS M, 2013, FRONTIERS-J WOMEN STUD";"SPECIAL ISSUE: REPRODUCTIVE TECHNOLOGIES AND REPRODUCTIVE JUSTICE INTRODUCTION";"SPECIAL ISSUE;ISSUE REPRODUCTIVE;REPRODUCTIVE TECHNOLOGIES;REPRODUCTIVE JUSTICE;JUSTICE INTRODUCTION"
"SRIDHAR A, 2024, INT J GYNECOL OBSTET";"BEYOND BORDERS: THE GLOBAL IMPACT OF VIOLATING REPRODUCTIVE HUMAN RIGHTS";"GLOBAL IMPACT;VIOLATING REPRODUCTIVE;REPRODUCTIVE HUMAN;HUMAN RIGHTS"
"ST CLAIR S, 2023, WOMENS HEALTH";"SOME KEY QUESTIONS: PREGNANCY INTENTION SCREENING BY COMMUNITY HEALTH WORKERS";"KEY QUESTIONS;QUESTIONS PREGNANCY;PREGNANCY INTENTION;INTENTION SCREENING;COMMUNITY HEALTH;HEALTH WORKERS"
"ST JOHN MS, 2019, INFANT MENT HEALTH J";"RECONCEIVING THE FIELD: INFANT MENTAL HEALTH, INTERSECTIONALITY, AND REPRODUCTIVE JUSTICE";"FIELD INFANT;INFANT MENTAL;MENTAL HEALTH;HEALTH INTERSECTIONALITY;REPRODUCTIVE JUSTICE"
"STANBURY C, 2024, AUSTR J ENVIRON EDUC";"POPULATION, CLIMATE CHANGE AND THE PHILOSOPHER'S MESSAGE";"POPULATION CLIMATE;CLIMATE CHANGE;PHILOSOPHERS MESSAGE"
"STAROSTA A, 2024, PERSPECT SEX REPROD HEALTH";"MEDICATION ABORTION FOR ADOLESCENTS IN THE UNITED STATES: STRENGTHENING THE ROLE OF PEDIATRIC PRIMARY CARE PROVIDERS";"MEDICATION ABORTION;PEDIATRIC PRIMARY;PRIMARY CARE;CARE PROVIDERS"
"STATZ M, 2019, ENVIRON PLAN A";"TO RECOGNIZE THE TYRANNY OF DISTANCE: A SPATIAL READING OF WHOLE WOMAN'S HEALTH V. HELLERSTEDT";"SPATIAL READING;WOMANS HEALTH"
"STEARNS A, 2013, J. Women POLITICS Policy Bioeth.";"THE EMBODIED PRACTICES OF BREASTFEEDING: IMPLICATIONS FOR RESEARCH AND POLICY IN WHOSE INTEREST? POLICY AND POLITICS IN ASSISTED REPRODUCTION";"EMBODIED PRACTICES;BREASTFEEDING IMPLICATIONS;ASSISTED REPRODUCTION"
"STEARNS CA, 2013, J WOMEN POLIT POLICY";"THE EMBODIED PRACTICES OF BREASTFEEDING: IMPLICATIONS FOR RESEARCH AND POLICY";"EMBODIED PRACTICES;BREASTFEEDING IMPLICATIONS"
"STEIN R, 2010, FOREIGN LIT STUD";"BAD SEED: IMPERILED DIVERSITIES IN RUTH OZEKI' S <I>ALL OVER CREATION</I>";"BAD SEED;SEED IMPERILED;IMPERILED DIVERSITIES;RUTH OZEKI"
"STEPHENS D, 2020, J SOC ISSUES";"CULTURAL FACTORS INFLUENCING YOUNG ADULT INDIAN WOMEN'S BELIEFS ABOUT DISCLOSING DOMESTIC VIOLENCE VICTIMIZATION";"CULTURAL FACTORS;ADULT INDIAN;INDIAN WOMENS;WOMENS BELIEFS;DISCLOSING DOMESTIC;DOMESTIC VIOLENCE;VIOLENCE VICTIMIZATION"
"STEPHENS DP, 2012, Reprod. JUSTICE: Glob. Concern";"STI PREVENTION AND CONTROL FOR WOMEN: A REPRODUCTIVE JUSTICE APPROACH TO UNDERSTANDING GLOBAL WOMEN’S EXPERIENCES";"STI PREVENTION;REPRODUCTIVE JUSTICE;JUSTICE APPROACH;UNDERSTANDING GLOBAL;GLOBAL WOMENS;WOMENS EXPERIENCES"
"STERN AM, 2016, CAD SAUDE PUBLICA";"ZIKA AND REPRODUCTIVE JUSTICE";"REPRODUCTIVE JUSTICE"
"STERN MS, 2024, Fight. MAD: Resist. END ROE V WADE";"A REPRODUCTIVE JUSTICE ACTIVIST IN KENTUCKY: UNDER ATTACK, FIGHTING BACK!";"REPRODUCTIVE JUSTICE;JUSTICE ACTIVIST;ATTACK FIGHTING"
"STETTNER S, 2019, Read. Can. WOMEN'S Gend. Hist.";"REALIZING REPRODUCTIVE JUSTICE IN CANADIAN HISTORY";"REALIZING REPRODUCTIVE;REPRODUCTIVE JUSTICE;CANADIAN HISTORY"
"STEVENS M, 2021, AGENDA-EMPOWER WOMEN GEND EQUITY";"SEXUAL AND REPRODUCTIVE HEALTH AND RIGHTS: WHERE IS THE PROGRESS SINCE BEIJING?";"REPRODUCTIVE HEALTH"
"STEVENS M, 2023, Crit. Stud. Teach. Learn.";"DIFFRACTIVE SWIMMING: LEARNING THOUGH A ROBBEN ISLAND CROSSING";"DIFFRACTIVE SWIMMING;SWIMMING LEARNING;ROBBEN ISLAND;ISLAND CROSSING"
"STEVENSON M, 2024, FRONT REPROD HEALTH";"SUGGESTIONS FOR POLITICAL REPARATIONS FOR REPRODUCTIVE ABUSES AGAINST BLACK WOMEN";"POLITICAL REPARATIONS;REPRODUCTIVE ABUSES;BLACK WOMEN"
"STOEVER J, 2023, J LAW MED ETHICS";"LEGALLY RECOGNIZING REPRODUCTIVE COERCION WHILE QUESTIONING SEXUAL VIOLENCE EXCEPTIONALISM";"LEGALLY RECOGNIZING;RECOGNIZING REPRODUCTIVE;REPRODUCTIVE COERCION;QUESTIONING SEXUAL;SEXUAL VIOLENCE;VIOLENCE EXCEPTIONALISM"
"STOTE K, 2017, ATLANTIS-CRIT STUD GEND CULT SOC JUSTICE";"DECOLONIZING FEMINISM: FROM REPRODUCTIVE ABUSE TO REPRODUCTIVE JUSTICE";"DECOLONIZING FEMINISM;REPRODUCTIVE ABUSE;REPRODUCTIVE JUSTICE"
"STUEBE A, 2024, HEALTH AFF";"CULTIVATING VITAL CONDITIONS FOR PERINATAL WELL-BEING AND A SUSTAINED COMMITMENT TO REPRODUCTIVE JUSTICE";"CULTIVATING VITAL;VITAL CONDITIONS;PERINATAL WELL-BEING;SUSTAINED COMMITMENT;REPRODUCTIVE JUSTICE"
"STUEBE AM, 2022, BREASTFEEDING: Guide Med. Prof.";"REPRODUCTIVE FUNCTION DURING LACTATION";"REPRODUCTIVE FUNCTION"
"STUVØY I, 2018, Reprod. Biomed. Soc. Online";"TROUBLESOME REPRODUCTION: SURROGACY UNDER SCRUTINY";"TROUBLESOME REPRODUCTION;REPRODUCTION SURROGACY"
"SUAREZ-BALCAZAR Y, 2022, AM J COMMUNITY PSYCHOL";"PROMOTING JUSTICE THROUGH COMMUNITY-BASED RESEARCH: INTERNATIONAL CASE STUDIES";"PROMOTING JUSTICE;COMMUNITY-BASED RESEARCH;RESEARCH INTERNATIONAL"
"SUAREZ-BALCAZAR Y, 2024, AM J COMMUNITY PSYCHOL";"REPRODUCTIVE JUSTICE FOR BLACK, INDIGENOUS, WOMEN OF COLOR: UPROOTING RACE AND COLONIALISM";"REPRODUCTIVE JUSTICE;BLACK INDIGENOUS;INDIGENOUS WOMEN;COLOR UPROOTING;UPROOTING RACE"
"SUDENKAARNE T, 2018, ETHICS Med. Public Health";"QUEERING BIOETHICS: A QUEER BIOETHICAL INVENTORY OF SURROGACY; [LA QUEER BIOETHICS : UN INVENTAIRE DE QUEER BIOETHICS DE LA MATERNITÉ DE SUBSTITUTION]";"QUEERING BIOETHICS;QUEER BIOETHICAL;BIOETHICAL INVENTORY;SURROGACY LA;LA QUEER;QUEER BIOETHICS;INVENTAIRE DE;DE QUEER;QUEER BIOETHICS;BIOETHICS DE;DE LA;LA MATERNITÉ;MATERNITÉ DE;DE SUBSTITUTION"
"SUDENKAARNE T, 2022, BIOETHICS";"REPRODUCTIVE JUSTICE FOR THE HAUNTED NORDIC WELFARE STATE: RACE, RACISM, AND QUEER BIOETHICS IN FINLAND";"REPRODUCTIVE JUSTICE;HAUNTED NORDIC;NORDIC WELFARE;RACE RACISM;QUEER BIOETHICS"
"SUDHINARASET M, 2022, SEX REPROD HEALTHC";"CONTRACEPTIVE USE AND CONSISTENCY AND THE ROLE OF DEFERRED ACTION FOR CHILDHOOD ARRIVALS: A CROSS-SECTIONAL SURVEY OF UNDOCUMENTED YOUNG ADULTS";"DEFERRED ACTION;CHILDHOOD ARRIVALS;CROSS-SECTIONAL SURVEY"
"SUFRIN C, 2015, PERSPECT SEX REPROD HEALTH";"REPRODUCTIVE JUSTICE, HEALTH DISPARITIES AND INCARCERATED WOMEN IN THE UNITED STATES";"REPRODUCTIVE JUSTICE;JUSTICE HEALTH;HEALTH DISPARITIES;INCARCERATED WOMEN"
"SUFRIN C, 2018, Reprod. Biomed. Soc. Online";"MAKING MOTHERS IN JAIL: CARCERAL REPRODUCTION OF NORMATIVE MOTHERHOOD";"JAIL CARCERAL;CARCERAL REPRODUCTION;NORMATIVE MOTHERHOOD"
"SUFRIN C, 2024, SSM - Qual. Res. Health";"“THEY TALKED TO ME LIKE I WAS DIRT UNDER THEIR FEET:” TREATMENT AND WITHDRAWAL EXPERIENCES OF INCARCERATED PREGNANT PEOPLE WITH OPIOID USE DISORDER IN FOUR U.S. STATES";"FEET TREATMENT;WITHDRAWAL EXPERIENCES;INCARCERATED PREGNANT;PREGNANT PEOPLE"
"SUH S, 2021, DYING TO COUNT: POST-ABORTION CARE AND GLOBAL REPRODUCTIVE HEALTH POLITICS IN SENEGAL";"EVIDENCE, HARM REDUCTION, AND REPRODUCTIVE JUSTICE CONCLUSION";"EVIDENCE HARM;HARM REDUCTION;REPRODUCTIVE JUSTICE;JUSTICE CONCLUSION"
"SUH S, 2023, SIGNS";"SUBVERSIVE EPIDEMIOLOGY IN ABORTION CARE: REPRODUCTIVE GOVERNANCE FROM THE GLOBAL TO THE LOCAL IN ARGENTINA AND SENEGAL";"SUBVERSIVE EPIDEMIOLOGY;ABORTION CARE;CARE REPRODUCTIVE;REPRODUCTIVE GOVERNANCE"
"SUK JC, 2023, AFTER MISOGYNY: HOW THE LAW FAILS WOMEN AND WHAT TO DO ABOUT IT-a";"INTRODUCTION LEGAL PATRIARCHY AND ITS AFTERMATH";"INTRODUCTION LEGAL;LEGAL PATRIARCHY"
"SUNDSTROM B, 2019, SOC SCI MED";"A REPRODUCTIVE JUSTICE APPROACH TO UNDERSTANDING WOMEN'S EXPERIENCES WITH HPV AND CERVICAL CANCER PREVENTION";"REPRODUCTIVE JUSTICE;JUSTICE APPROACH;UNDERSTANDING WOMENS;WOMENS EXPERIENCES;CERVICAL CANCER;CANCER PREVENTION"
"SUNDSTROM B, 2020, J HEALTH COMMUN";"MOVING ORAL CONTRACEPTIVES OVER THE COUNTER: THEORY-BASED FORMATIVE RESEARCH TO DESIGN COMMUNICATION STRATEGY";"MOVING ORAL;ORAL CONTRACEPTIVES;COUNTER THEORY-BASED;THEORY-BASED FORMATIVE;FORMATIVE RESEARCH;DESIGN COMMUNICATION;COMMUNICATION STRATEGY"
"SUNDSTROM B, 2021, EIRE-IREL";"``NUNS DON'T GET CERVICAL CANCER'': A REPRODUCTIVE-JUSTICE APPROACH TO UNDERSTANDING THE CERVICAL-CANCER PREVENTION CRISIS IN IRELAND";"NUNS DONT;CERVICAL CANCER;REPRODUCTIVE-JUSTICE APPROACH;CERVICAL-CANCER PREVENTION;PREVENTION CRISIS"
"SUNDSTROM B, 2023, Catch. FIRE: WOMEN’S Health Act. Irel. Glob. Mov. Reprod. Justice";"CATCHING FIRE: WOMEN’S HEALTH ACTIVISM IN IRELAND AND THE GLOBAL MOVEMENT FOR REPRODUCTIVE JUSTICE";"CATCHING FIRE;FIRE WOMENS;WOMENS HEALTH;HEALTH ACTIVISM;GLOBAL MOVEMENT;REPRODUCTIVE JUSTICE"
"SUNDSTROM B, 2024, J HEALTH COMMUN";"``IT'S YOUR BODY AND YOUR LIFE:'' FORMATIVE AUDIENCE RESEARCH TO DEVELOP A SEXUAL HEALTH CAMPAIGN WITH YOUTH OF COLOR";"LIFE FORMATIVE;FORMATIVE AUDIENCE;AUDIENCE RESEARCH;SEXUAL HEALTH;HEALTH CAMPAIGN"
"SUSLOVIC B, 2023, Stud. Gend. Sex.";"HYSTERICAL SOLIDARITY: AN EMBODIED REFLECTION ON CONTEMPORARY SEXUAL AND REPRODUCTIVE RIGHTS CONCERNS IN THE UNITED STATES";"HYSTERICAL SOLIDARITY;EMBODIED REFLECTION;CONTEMPORARY SEXUAL;REPRODUCTIVE RIGHTS;RIGHTS CONCERNS"
"SUSSMAN SL, 2024, Fight. MAD: Resist. END ROE V WADE WAIMH Handb. Infant Early Child. Ment. Heal. Biopsychosoc. FACTORS: Vol. ONE";"PREPARING CRIMINAL DEFENSE ATTORNEYS TO FIGHT FOR REPRODUCTIVE JUSTICE ADOLESCENT MOTHERS OF YOUNG CHILDREN";"PREPARING CRIMINAL;CRIMINAL DEFENSE;DEFENSE ATTORNEYS;REPRODUCTIVE JUSTICE;JUSTICE ADOLESCENT;ADOLESCENT MOTHERS"
"SUTER SM, 2023, J LAW MED ETHICS";"REPRODUCTIVE GENETIC MEDICINE IN A POST-<I>DOBBS</I> WORLD: WILL IT MAKE LIFE HARDER FOR PEOPLE WITH GENETIC DISEASE?";"REPRODUCTIVE GENETIC;GENETIC MEDICINE;POST-IDOBBSI WORLD;LIFE HARDER;GENETIC DISEASE"
"SVALLFORS S, 2024, DISASTERS";"REPRODUCTIVE JUSTICE IN THE COLOMBIAN ARMED CONFLICT";"REPRODUCTIVE JUSTICE;COLOMBIAN ARMED;ARMED CONFLICT"
"SWADLEY HA, 2024, J WOMEN POLIT POLICY";"``DEEPLY ROOTED'': ABORTION FEDERALISM, DIVIDED CITIZENSHIP, AND DISABILITY REPRODUCTIVE (IN)JUSTICE";"DEEPLY ROOTED;ROOTED ABORTION;ABORTION FEDERALISM;FEDERALISM DIVIDED;DIVIDED CITIZENSHIP;DISABILITY REPRODUCTIVE;REPRODUCTIVE INJUSTICE"
"SÁNCHEZ MC, 2022, PALGRAVE Handb. Reprod. Justice Lit.";"TRACES, GLIMPSES, AND SLANT VIEWS: RECOGNIZING ISSUES OF REPRODUCTIVE JUSTICE IN NINETEENTH-CENTURY US LITERATURE";"TRACES GLIMPSES;SLANT VIEWS;VIEWS RECOGNIZING;RECOGNIZING ISSUES;REPRODUCTIVE JUSTICE"
"TABAHI S, 2020, SEX CULT";"THE CONSTRUCTION AND RECONSTRUCTION OF SEXUALITY IN THE ARAB WORLD: AN EXAMINATION OF SEXUAL DISCOURSE, WOMEN'S WRITING AND REPRODUCTIVE JUSTICE";"ARAB WORLD;SEXUAL DISCOURSE;DISCOURSE WOMENS;WOMENS WRITING;REPRODUCTIVE JUSTICE"
"TABERY J, 2023, LANCET REGIONAL HEALTH-AMERICAS";"VICTIMS OF EUGENIC STERILISATION IN UTAH: COHORT DEMOGRAPHICS AND ESTIMATE OF LIVING SURVIVORS";"EUGENIC STERILISATION;UTAH COHORT;COHORT DEMOGRAPHICS;LIVING SURVIVORS"
"TAIWO TK, 2024, HEALTH EQUITY";"PERINATAL MOOD AND ANXIETY DISORDER AND REPRODUCTIVE JUSTICE: EXAMINING UNMET NEEDS FOR MENTAL HEALTH AND SOCIAL SERVICES IN A NATIONAL COHORT";"PERINATAL MOOD;ANXIETY DISORDER;REPRODUCTIVE JUSTICE;JUSTICE EXAMINING;EXAMINING UNMET;MENTAL HEALTH;SOCIAL SERVICES;NATIONAL COHORT"
"TAM MW, 2021, REPROD HEALTH";"QUEERING REPRODUCTIVE ACCESS: REPRODUCTIVE JUSTICE IN ASSISTED REPRODUCTIVE TECHNOLOGIES";"QUEERING REPRODUCTIVE;REPRODUCTIVE ACCESS;ACCESS REPRODUCTIVE;REPRODUCTIVE JUSTICE;ASSISTED REPRODUCTIVE;REPRODUCTIVE TECHNOLOGIES"
"TANG F, 2022, PALGRAVE Handb. Reprod. Justice Lit.";"CLAIMING MOTHERHOOD: REPRODUCTIVE JUSTICE AND SURROGACY IN CHINESE AMERICAN LITERATURE OF THE NEW MILLENNIUM";"CLAIMING MOTHERHOOD;MOTHERHOOD REPRODUCTIVE;REPRODUCTIVE JUSTICE;CHINESE AMERICAN;AMERICAN LITERATURE"
"TAO H, 2024, J LESBIAN STUD";"GOOD DEEDS OR EXPLOITATION?: QUEER PARENTS WORKING FOR PRIVATE ASSISTED REPRODUCTIVE TECHNOLOGIES COMPANIES IN URBAN CHINA";"EXPLOITATION QUEER;QUEER PARENTS;PRIVATE ASSISTED;ASSISTED REPRODUCTIVE;REPRODUCTIVE TECHNOLOGIES;TECHNOLOGIES COMPANIES;URBAN CHINA"
"TAVERA SP, 2022, (P)RESCRIPTION NARRATIVES: FEMINIST MEDICAL FICTION AND THE FAILURE OF AMERICAN CENSORSHIP";"CONCLUSION-MEDICAL THEATER : THE BIRTH OF ANTI-LYNCHING PLAYS AND REPRODUCTIVE JUSTICE";"CONCLUSION-MEDICAL THEATER;ANTI-LYNCHING PLAYS;REPRODUCTIVE JUSTICE"
"TAYLOR F, 2022, FRONT GLOB WOMEN HEALTH";"ARE UK POLICIES AND PRACTICES FOR REGULATED DONOR INSEMINATION FORCING WOMEN TO FIND UNREGULATED SPERM DONORS ONLINE? A PERSPECTIVE ON THE AVAILABLE EVIDENCE";"UK POLICIES;REGULATED DONOR;DONOR INSEMINATION;INSEMINATION FORCING;FORCING WOMEN;UNREGULATED SPERM;SPERM DONORS;DONORS ONLINE"
"TELLA KK, 2022, Abort. RIGHTS Reprod. Justice STATE: Int. Perspect.";"ABORTION RIGHTS, REPRODUCTIVE JUSTICE AND THE STATE: INTERNATIONAL PERSPECTIVES";"ABORTION RIGHTS;RIGHTS REPRODUCTIVE;REPRODUCTIVE JUSTICE;INTERNATIONAL PERSPECTIVES"
"TEMPESTA GA, 2021, HORIZONTES Antropol.";"NAMING THE NAMELESS. THE PROBLEMATIZATION OF OBSTETRIC VIOLENCE AND THE CONSTRUCTION OF A COUNTER-HEGEMONIC REPRODUCTIVE PEDAGOGY; [NOMEANDO O INOMINÁVEL. A PROBLEMATIZAÇÃO DA VIOLÊNCIA OBSTÉTRICA E O DELINEAMENTO DE UMA PEDAGOGIA REPRODUTIVA CONTRA-HEGEMÔNICA]";"OBSTETRIC VIOLENCE;COUNTER-HEGEMONIC REPRODUCTIVE;REPRODUCTIVE PEDAGOGY;PEDAGOGY NOMEANDO;PROBLEMATIZAÇÃO DA;DA VIOLÊNCIA;VIOLÊNCIA OBSTÉTRICA;DELINEAMENTO DE;DE UMA;UMA PEDAGOGIA;PEDAGOGIA REPRODUTIVA;REPRODUTIVA CONTRA-HEGEMÔNICA"
"THOMA P, 2009, FEM MEDIA STUD";"MODERN FEMININE SUBJECTIVITY, ASSERTIONS OF ``CHOICE,'' AND THE REPUDIATION OF REPRODUCTIVE JUSTICE IN POSTFEMINIST UNWANTED PREGNANCY FILMS";"MODERN FEMININE;FEMININE SUBJECTIVITY;SUBJECTIVITY ASSERTIONS;REPRODUCTIVE JUSTICE;POSTFEMINIST UNWANTED;UNWANTED PREGNANCY;PREGNANCY FILMS"
"THOMPSON I, 2022, CLIN OBSTET GYNECOL";"CENTERING THE PATIENT IN POSTPARTUM CONTRACEPTIVE COUNSELING";"POSTPARTUM CONTRACEPTIVE;CONTRACEPTIVE COUNSELING"
"THOMPSON TA, 2022, FRONT GLOB WOMEN HEALTH";"ADDRESSING STRUCTURAL INEQUITIES, A NECESSARY STEP TOWARD ENSURING EQUITABLE ACCESS TO TELEHEALTH FOR MEDICATION ABORTION CARE DURING AND POST COVID-19";"ADDRESSING STRUCTURAL;STRUCTURAL INEQUITIES;ENSURING EQUITABLE;EQUITABLE ACCESS;MEDICATION ABORTION;ABORTION CARE;POST COVID-"
"THOMPSON TAM, 2022, HEALTH AFF";"RACISM RUNS THROUGH IT: EXAMINING THE SEXUAL AND REPRODUCTIVE HEALTH EXPERIENCE OF BLACK WOMEN IN THE SOUTH";"RACISM RUNS;REPRODUCTIVE HEALTH;HEALTH EXPERIENCE;BLACK WOMEN"
"THOMSEN C, 2013, FEM STUD";"FROM REFUSING STIGMATIZATION TOWARD CELEBRATION: NEW DIRECTIONS FOR REPRODUCTIVE JUSTICE ACTIVISM";"REFUSING STIGMATIZATION;REPRODUCTIVE JUSTICE;JUSTICE ACTIVISM"
"THOMSEN C, 2020, SIGNS";"ABORTION AS GENDER TRANSGRESSION: REPRODUCTIVE JUSTICE, QUEER THEORY, AND ANTI-CRISIS PREGNANCY CENTER ACTIVISM";"GENDER TRANSGRESSION;TRANSGRESSION REPRODUCTIVE;REPRODUCTIVE JUSTICE;JUSTICE QUEER;QUEER THEORY;ANTI-CRISIS PREGNANCY;PREGNANCY CENTER;CENTER ACTIVISM"
"THOMSEN C, 2022, Hum. U. K.";"ANIMATING AND SUSTAINING OUTRAGE: THE PLACE OF CRISIS PREGNANCY CENTERS IN ABORTION JUSTICE";"SUSTAINING OUTRAGE;CRISIS PREGNANCY;PREGNANCY CENTERS;ABORTION JUSTICE"
"THOMSEN C, 2022, POLIT GEOGR";"US ANTI-ABORTION IDEOLOGY ON THE MOVE: MOBILE CRISIS PREGNANCY CENTERS AS UNRULY, UNMAPPABLE, UNGOVERNABLE";"ANTI-ABORTION IDEOLOGY;MOVE MOBILE;MOBILE CRISIS;CRISIS PREGNANCY;PREGNANCY CENTERS;UNRULY UNMAPPABLE;UNMAPPABLE UNGOVERNABLE"
"THOMSEN C, 2023, Hum. U. K.";"PRESENCE AND ABSENCE: CRISIS PREGNANCY CENTERS AND ABORTION FACILITIES IN THE CONTEMPORARY REPRODUCTIVE JUSTICE LANDSCAPE";"ABSENCE CRISIS;CRISIS PREGNANCY;PREGNANCY CENTERS;ABORTION FACILITIES;CONTEMPORARY REPRODUCTIVE;REPRODUCTIVE JUSTICE;JUSTICE LANDSCAPE"
